,Category,Reaction Popularity,Month
0,studying,0,11
1,studying,10,6
2,studying,15,4
3,studying,0,1
4,studying,30,8
5,studying,35,12
6,studying,70,4
7,studying,5,1
8,studying,35,4
9,studying,65,8
10,studying,20,11
11,studying,15,11
12,studying,30,11
13,studying,5,10
14,studying,15,9
15,studying,75,2
16,studying,35,9
17,studying,20,2
18,studying,30,5
19,studying,45,1
20,studying,35,11
21,studying,12,4
22,studying,50,6
23,studying,60,4
24,studying,12,3
25,studying,5,6
26,studying,5,5
27,studying,70,8
28,studying,75,8
29,studying,45,8
30,studying,15,4
31,studying,30,3
32,studying,20,5
33,studying,75,1
34,studying,0,4
35,studying,75,2
36,studying,30,2
37,studying,10,11
38,studying,15,9
39,studying,10,11
40,studying,70,2
41,studying,30,7
42,studying,20,8
43,studying,12,5
44,studying,5,3
45,healthy eating,10,6
46,healthy eating,45,9
47,healthy eating,35,8
48,healthy eating,15,2
49,healthy eating,5,3
50,healthy eating,0,3
51,healthy eating,5,5
52,healthy eating,50,3
53,healthy eating,65,5
54,healthy eating,65,8
55,healthy eating,60,6
56,healthy eating,20,7
57,healthy eating,35,8
58,healthy eating,65,9
59,healthy eating,50,3
60,healthy eating,5,12
61,healthy eating,75,8
62,healthy eating,72,1
63,healthy eating,15,9
64,healthy eating,70,7
65,healthy eating,72,10
66,healthy eating,30,6
67,healthy eating,60,12
68,healthy eating,50,6
69,healthy eating,50,6
70,healthy eating,5,11
71,healthy eating,30,5
72,healthy eating,10,5
73,healthy eating,35,11
74,healthy eating,60,6
75,healthy eating,75,3
76,healthy eating,70,7
77,healthy eating,5,8
78,healthy eating,10,11
79,healthy eating,15,12
80,healthy eating,10,4
81,healthy eating,70,11
82,healthy eating,30,6
83,healthy eating,65,10
84,healthy eating,60,5
85,healthy eating,0,8
86,healthy eating,72,8
87,healthy eating,72,10
88,healthy eating,72,11
89,healthy eating,12,8
90,healthy eating,30,11
91,technology,12,4
92,technology,70,9
93,technology,60,10
94,technology,15,10
95,technology,60,5
96,technology,5,9
97,technology,20,10
98,food,15,5
99,cooking,30,2
100,cooking,5,5
101,cooking,70,1
102,cooking,35,2
103,cooking,10,11
104,cooking,65,6
105,cooking,70,2
106,cooking,30,1
107,cooking,72,11
108,cooking,50,12
109,cooking,50,5
110,cooking,70,1
111,cooking,20,1
112,cooking,72,5
113,cooking,12,5
114,cooking,35,7
115,cooking,10,5
